company_name,acct_no,DIN,pred_3rd_party_check,authorized_signer,trans_am
Murphy-James,CPZO30297910765333,97610864,True,Todd Lewis,9312
Nguyen-Wolf,ZGKE68482007115143,59961268,True,Kevin Garcia,9176
Griffin-Robinson,EXXX68394094161814,98908782,True,Jose Rubio,1834
Lambert PLC,YNUN70021269824001,47586677,True,Thomas Hicks,2865
Parks Group,VRZX44532896429514,39910325,True,Andrew Howard,2330
Johnson-Stewart,DXBR49236812805007,16261726,True,Jaclyn Jones,6163
Adams PLC,IAKQ79998190055491,56919245,False,Adam Greene,6758
Armstrong-Mcbride,NIJX40339577970686,88514116,False,Briana Duncan,8677
"Love, Bradshaw and Navarro",HBDF22877488649324,646947,True,Kenneth Bauer,866
Wilson-Miller,UETF40584721958306,16721311,False,Philip Moon,7932
"Flores, Acevedo and Spears",GTVL22159137981416,53768654,False,Randy Austin,1890
"Brown, Castro and Quinn",SZDS72618716279377,36428898,True,Kevin Taylor,8086
Phillips-Davila,NDIK69639707629768,87267012,False,Aimee Shah,8896
"Reynolds, Johnson and Edwards",MGZA21416672569358,82449538,False,Stephanie Gutierrez,395
Brewer-Wilson,AZBL51943353875086,75048467,True,Joseph Butler,4961
Rose LLC,WKYS62683977249943,58070987,False,Matthew Pearson,2265
Holmes Ltd,UJHM28431478659105,36393263,False,Jeffrey Thompson,2328
"Scott, Perez and Compton",KWFX13884853913638,57707843,True,Frank Bryant,4603
"Blackburn, Garcia and Hoffman",IXAA01376654612604,16132766,True,Candace Perry,1724
Jenkins and Sons,FRXU20416252741001,45546657,True,Richard Jones,1597
"Hahn, Anderson and Brown",PFHW95988260000108,93798206,True,Mrs. Lauren Beck,1381
Gallagher and Sons,BHPM60023797100087,7997293,True,Patricia Lucas,660
"Gonzalez, Ramirez and King",IKMH41134660431439,26778876,True,Sierra Jones,8990
"Smith, Mullins and Valenzuela",YIGV55621465091855,4062279,False,Ann Salazar,8569
Gray Inc,EUGP99556055797337,44639989,False,Rebecca Reid,3575
Baldwin-Harrison,LYBX57135839307274,43180920,True,Steven Livingston,2925
Vazquez-Kennedy,YMQL04897343716835,4734340,False,Dawn White,9435
Potts Ltd,CCBV59467035047921,20969435,False,Robert Williamson,471
Nelson-Johnson,SJAI48448652882711,26349761,False,Mr. Jason Smith DDS,6502
Henderson LLC,KHCX61272019005285,71856307,True,Kirsten Williams,3208
Patel-Harris,YYQX49294189659467,4781872,False,Bruce Herrera,9843
Hernandez PLC,DSTY66828654357863,2747760,False,Ashley Cantrell,5332
Farley-Mcdowell,GTFF94416552471520,67065533,False,Marc Thompson,3895
"Mccarthy, Mcgee and Thomas",DYLA13817843188965,1733843,True,Matthew Mcconnell,5810
"Sharp, Watson and Thompson",QRBG92718281072014,77245971,False,Jessica Phillips,5349
Small and Sons,BQNS10716367196473,3250794,True,Melissa Rose,9341
"Taylor, Johnson and Taylor",QNSI24689333472218,8145217,True,Bryan Gonzalez,8584
Craig-Jennings,UJGK94063149158549,38607655,True,Ian Palmer,1426
Harris-Walters,SGRU45151129378453,9135404,True,Andrew Jones,4893
Pratt-Sanchez,RIAW89205256825963,57613769,False,Kimberly Wilson,5266
Martinez-Edwards,HGMM84402716985648,10791538,False,Amy Vaughn,1335
"Fry, Reid and Stokes",OXIC20525023135525,45975249,True,David Stewart,2830
Wright and Sons,HYXC76525294117398,51349946,False,Dennis Thompson,4752
Burke LLC,BETL84216023230414,9482728,True,Meagan Mays,3690
Rich Group,MDLK63110929983320,55671901,True,Rachel Cook,3985
"Miller, English and Boyd",UIAV79977381025124,2884448,False,Christopher Harmon,2688
Steele PLC,BBFV85668271960840,67049155,True,Dylan Jones,3889
Werner-Anderson,SEGT89700946704569,93631509,False,Tammy Miller,4777
Cruz-Johnson,BCSC26792577936010,41714859,True,Devon Martinez,3077
Gates-Stephenson,YTUT99042517453839,2749709,True,Marissa Turner,6528
"Bryant, Ellison and Tanner",OBLH15794128848793,48754189,False,Virginia Fisher,9509
Brown Ltd,MIOW28861310797146,99453761,True,Vincent Smith,5834
Ellis-Garcia,ITWG58812556098009,84838707,True,Sarah Cox,674
Johnson LLC,XDUN99933724134093,5351909,True,Brian Smith,6898
"Sandoval, Morrison and Jensen",PQOZ20071639347040,21966781,True,Riley Hansen,9994
Rodriguez-Gray,KWCJ22835642063652,47139615,True,Natalie Hunt,7176
Williams Group,SLKN87279497733662,40919411,False,Kelly Carson,6574
Smith-White,CHHZ99484680861242,54492373,False,Sarah Young,3018
Jacobson LLC,QOAA40844854761799,86385441,False,Travis Harris,8380
"Moody, Bennett and Gomez",HQQF55283271457136,98868008,True,Marisa Acosta,8182
Williams-George,NTLT55658915553245,57875707,False,Jason Day,5053
Morse PLC,TFWS81337838326646,48621405,True,Paula Wells,2522
Greer-Hall,NOTT15722407200842,1267495,True,Michelle Martin,5235
Higgins and Sons,FJFR76883787816950,25416580,False,Whitney Holmes,9400
Bradley-Hicks,INVR11701643121926,22616209,False,Mr. Joel Martin,5787
Bailey LLC,KGZI59472028825989,38295806,False,Elizabeth Miller,220
"Powers, Johnson and Brock",YTLC04844830567487,48009350,True,Ryan Garza,4952
Yang-Jordan,NLFZ85224840577917,19998874,False,Kristine Robinson,3792
Galvan LLC,JJAO20236117230199,3817112,True,Kenneth Wall,8692
Freeman-Turner,TJJL48498988089596,33141778,True,Amy Jackson,6020
"Holland, Tran and Hull",AHUY52371299957475,41586636,True,Meghan Robinson,2032
"Thompson, Shaw and Coffey",PGHF78963443884211,94484537,False,Justin Spencer,9611
Mills LLC,UAQH11555045712997,11822361,False,Dakota Wilkinson,6565
Garrett-Cochran,RYHL41678288957362,30569964,True,Todd Ross,4853
Koch Ltd,IJMS72135594343838,32099141,True,Tracey Williams,8577
Sherman Inc,OLQI12375129270625,9008107,True,Jason Wilson,8188
"Silva, Kim and Dorsey",YNJI70684032649019,65482718,True,Laurie Sullivan,2594
Mitchell Ltd,PRWA13466177832491,46032965,True,Jacob Hudson,4032
Ward-West,BKZE19531060137354,29680215,True,Mark Harrington,1477
Martinez-Stanley,IVUI90638047260100,7411720,False,Tracey Fry,6398
Cunningham Inc,ZPQJ74583282107245,28341975,True,Joshua Gonzalez,2581
Griffin Inc,DMLP24016408090910,60196486,False,Eric Lopez,4889
Hawkins-Mendoza,LLMG38263213331120,34399313,False,Megan Stevenson,6395
Wright-Garrett,FPTO17407633331080,54523912,False,Karina Mcbride,738
"Williams, Lewis and Davidson",VYNS91182316117614,97720231,True,Theodore Rios,7550
"Guzman, Woods and Peterson",KYTI63771242817034,44919900,False,Steven Davis,2218
Winters-Hernandez,LAUZ91747934628164,1943062,False,Jennifer Mullins,3701
Cruz-Garcia,BYPD11848716176368,7284422,False,David Johnson,175
